State/Territory,Resort Name,Resort URL,Has Spa,Price Range,Property Class
Alabama Golf Resorts,Renaissance Birmingham Ross Bridge Golf Resort & Spa,https://www.golfpass.com/travel-advisor/resorts/alabama/renaissance-birmingham-ross-bridge-golf-resort-spa/,Yes,$$$,★★★★
Arkansas Golf Resorts,Degray Lake Resort State Park,https://www.golfpass.com/travel-advisor/resorts/arkansas/degray-lake-resort-state-park/,No,$$,★★★
Hawaii Golf Resorts,Turtle Bay Resort (Oahu),https://www.golfpass.com/travel-advisor/resorts/hawaii/turtle-bay-resort-oahu/,Yes,$$$$,★★★★
Florida Golf Resorts,Cabot Citrus Farms,https://www.golfpass.com/travel-advisor/resorts/florida/cabot-citrus-farms/,No,$$$,★★★★
Colorado Golf Resorts,Sheraton Steamboat Resort Villas,https://www.golfpass.com/travel-advisor/resorts/colorado/sheraton-steamboat-resort-villas/,Yes,$$$,★★★★
Alabama Golf Resorts,Auburn Marriott Opelika Resort & Spa at Grand National,https://www.golfpass.com/travel-advisor/resorts/alabama/auburn-marriott-opelika-resort-spa-at-grand-national/,Yes,$$$,★★★★
Arkansas Golf Resorts,Club Wyndham Resort at Fairfield Bay,https://www.golfpass.com/travel-advisor/resorts/arkansas/club-wyndham-resort-at-fairfield-bay/,Yes,$$,★★★
Delaware Golf Resorts,Bear Trap Dunes,https://www.golfpass.com/travel-advisor/resorts/Delaware/bear-trap-dunes/,No,$$$,★★★★
Connecticut Golf Resorts,"Heritage Hotel, Golf, Spa, Conference Center",https://www.golfpass.com/travel-advisor/resorts/Connecticut/heritage-hotel-golf-spa-conference-center/,Yes,$$,★★★
Georgia Golf Resorts,Jekyll Island,https://www.golfpass.com/travel-advisor/resorts/georgia/jekyll-island/,Yes,"$$, $$$$, $, $$$",★★★
Arizona Golf Resorts,Pointe Hilton Tapatio Cliffs Resort,https://www.golfpass.com/travel-advisor/resorts/arizona/pointe-hilton-tapatio-cliffs-resort/,Yes,$$$,★★★★
Colorado Golf Resorts,"Cheyenne Mountain Colorado Springs, A Dolce Resort",https://www.golfpass.com/travel-advisor/resorts/colorado/cheyenne-mountain-colorado-springs-a-dolce-resort/,Yes,$$$,★★★★
Hawaii Golf Resorts,Mauna Kea Beach Hotel (Hawaii Island),https://www.golfpass.com/travel-advisor/resorts/hawaii/mauna-kea-beach-hotel-big-island/,Yes,$$$$,★★★★★
Delaware Golf Resorts,Heritage Shores,https://www.golfpass.com/travel-advisor/resorts/Delaware/heritage-shores/,No,$$,★★★
Alabama Golf Resorts,Kiva Dunes,https://www.golfpass.com/travel-advisor/resorts/alabama/kiva-dunes/,No,$$$,★★★★
Arkansas Golf Resorts,Glenwood Country Club,https://www.golfpass.com/travel-advisor/resorts/arkansas/glenwood-country-club/,No,$,★
Florida Golf Resorts,"The Ritz-Carlton Naples, Tiburon",https://www.golfpass.com/travel-advisor/resorts/florida/the-ritz-carlton-golf-resort-naples/,Yes,$$$$,★★★★★
Connecticut Golf Resorts,Foxwoods Resort Casino,https://www.golfpass.com/travel-advisor/resorts/Connecticut/foxwoods-resort-casino/,Yes,"$$$, $$$$",★★★★
Hawaii Golf Resorts,"Mauna Lani, from Auberge Resorts Collection (Hawaii Island)",https://www.golfpass.com/travel-advisor/resorts/hawaii/mauna-lani-from-auberge-resorts-collection-big-island/,Yes,$$$$,★★★★★
Colorado Golf Resorts,Omni Interlocken Hotel,https://www.golfpass.com/travel-advisor/resorts/colorado/omni-interlocken-hotel/,Yes,$$$,★★★★
California Golf Resorts,"La Quinta Resort & Club, a Waldorf Astoria Resort",https://www.golfpass.com/travel-advisor/resorts/california/la-quinta-resort-club-a-waldorf-astoria-resort/,Yes,$$$$,★★★★★
Arkansas Golf Resorts,Red Apple Inn & Country Club,https://www.golfpass.com/travel-advisor/resorts/arkansas/red-apple-inn-country-club/,Yes,$$,★★★
Arizona Golf Resorts,Harrah’s Ak-Chin Hotel & Casino,https://www.golfpass.com/travel-advisor/resorts/arizona/harrahs-ak-chin-hotel-casino/,Yes,$$,★★★
Delaware Golf Resorts,Bayside Resort Golf Club,https://www.golfpass.com/travel-advisor/resorts/Delaware/bayside-resort-golf-club/,No,$$$,★★★★
Alabama Golf Resorts,Marriott Shoals Hotel & Spa,https://www.golfpass.com/travel-advisor/resorts/alabama/marriott-shoals-hotel-spa/,Yes,$$$,★★★★
Hawaii Golf Resorts,Kapalua Golf Resorts (Maui),https://www.golfpass.com/travel-advisor/resorts/hawaii/kapalua-golf-resorts-maui/,Yes,$$$$,★★★★★
Colorado Golf Resorts,The Sonnenalp,https://www.golfpass.com/travel-advisor/resorts/colorado/the-sonnenalp/,Yes,"$$$, $$$$",★★★★
Georgia Golf Resorts,Reynolds Lake Oconee,https://www.golfpass.com/travel-advisor/resorts/georgia/reynolds-lake-oconee/,Yes,"$$$, $$$$",★★★★★
Connecticut Golf Resorts,"Mohegan Sun Hotel, Golf & Spa",https://www.golfpass.com/travel-advisor/resorts/Connecticut/mohegan-sun-hotel-golf-spa/,Yes,"$$$, $$$$",★★★★
Florida Golf Resorts,Evermore Orlando Resort,https://www.golfpass.com/travel-advisor/resorts/florida/grand-cypress-golf-resort/,Yes,$$$,★★★★
Arkansas Golf Resorts,Mountain Ranch Golf Club at Fairfield Bay and Tannenbaum Golf Club,https://www.golfpass.com/travel-advisor/resorts/arkansas/mountain-ranch-golf-club-at-fairfield-bay-and-tannenbaum-golf-club/,No,$,★★
California Golf Resorts,"Park Hyatt Aviara Resort, Golf Club & Spa",https://www.golfpass.com/travel-advisor/resorts/california/park-hyatt-aviara-resort-golf-club-spa/,Yes,$$$$,★★★★
Arizona Golf Resorts,Casino del Sol,https://www.golfpass.com/travel-advisor/resorts/arizona/casino-del-sol/,Yes,"$$, $$$",★★★★
Hawaii Golf Resorts,Waikoloa Beach Resorts (Hawaii Island),https://www.golfpass.com/travel-advisor/resorts/hawaii/waikoloa-beach-resorts-big-island/,Yes,$$$$,★★★★★
Alabama Golf Resorts,Montgomery Marriott Prattville Hotel & Conference Center at Capitol Hill,https://www.golfpass.com/travel-advisor/resorts/alabama/montgomery-marriott-prattville-hotel-conference-center-at-capitol-hill/,No,$$$,★★★★
Arkansas Golf Resorts,Millwood Landing Resort,https://www.golfpass.com/travel-advisor/resorts/arkansas/millwood-landing-resort/,No,"$, $$",★
Delaware Golf Resorts,Baywood Greens,https://www.golfpass.com/travel-advisor/resorts/Delaware/baywood-greens/,No,$$$,★★★
Colorado Golf Resorts,Beaver Creek Resort,https://www.golfpass.com/travel-advisor/resorts/colorado/beaver-creek-resort/,Yes,"$$$, $$$$",★★★★★
Arizona Golf Resorts,Mountain Shadows Resort Scottsdale,https://www.golfpass.com/travel-advisor/resorts/arizona/mountain-shadows-resort-scottsdale/,No,$$$,★★★★
Connecticut Golf Resorts,The Spa at Norwich Inn,https://www.golfpass.com/travel-advisor/resorts/Connecticut/the-spa-at-norwich-inn/,Yes,$$$,★★★
Georgia Golf Resorts,Westin Savannah Harbor Golf Resort and Spa,https://www.golfpass.com/travel-advisor/resorts/georgia/westin-savannah-harbor-golf-resort-and-spa/,Yes,$$$,★★★★
California Golf Resorts,Black Oak Casino Resort,https://www.golfpass.com/travel-advisor/resorts/california/black-oak-casino-resort/,No,$$,★★★★
Hawaii Golf Resorts,1 Hotel Hanalei Bay (Kauai),https://www.golfpass.com/travel-advisor/resorts/hawaii/princeville-at-hanalei-resort-kauai/,Yes,$$$$,★★★★★
Alabama Golf Resorts,Renaissance Montgomery Hotel & Spa at the Convention Center,https://www.golfpass.com/travel-advisor/resorts/alabama/renaissance-montgomery-hotel-spa-at-the-convention-center/,Yes,$$$,★★★★
Colorado Golf Resorts,Lodge at Tamarron,https://www.golfpass.com/travel-advisor/resorts/colorado/lodge-at-tamarron/,Yes,"$$, $$$",★★★
Florida Golf Resorts,Marriott's Legends Edge at Bay Point,https://www.golfpass.com/travel-advisor/resorts/florida/marriotts-legends-edge-at-bay-point/,No,$$$,★★★★
Arizona Golf Resorts,Rancho de los Caballeros,https://www.golfpass.com/travel-advisor/resorts/arizona/rancho-de-los-caballeros/,Yes,$$$,★★★
Arkansas Golf Resorts,Hot Springs Village,https://www.golfpass.com/travel-advisor/resorts/arkansas/hot-springs-village/,No,$$,★★★
California Golf Resorts,Sensei Porcupine Creek - Rancho Mirage Wellness Retreat,https://www.golfpass.com/travel-advisor/resorts/california/sensei-porcupine-creek-rancho-mirage-wellness-retreat/,Yes,$$$$,★★★★★
Idaho Golf Resorts,Tamarack Resort,https://www.golfpass.com/travel-advisor/resorts/Idaho/tamarack-resort/,Yes,$$$,★★★★
Arkansas Golf Resorts,Cedar Glade Resort,https://www.golfpass.com/travel-advisor/resorts/arkansas/cedar-glade-resort/,Yes,$$,★★
Colorado Golf Resorts,Keystone Resort,https://www.golfpass.com/travel-advisor/resorts/colorado/keystone-resort/,Yes,$$$,★★★★
Alabama Golf Resorts,Goose Pond Colony Resort,https://www.golfpass.com/travel-advisor/resorts/alabama/goose-pond-colony-resort/,No,$$,★★★
Hawaii Golf Resorts,Four Seasons Resort Lanai,https://www.golfpass.com/travel-advisor/resorts/hawaii/four-seasons-resort-lanai/,Yes,$$$$,★★★★★
Arizona Golf Resorts,The Boulders Resort & Spa Scottsdale,https://www.golfpass.com/travel-advisor/resorts/arizona/the-boulders-resort-spa-scottsdale/,Yes,"$$$$, $$$",★★★★★
Georgia Golf Resorts,Chateau Elan Winery & Resort,https://www.golfpass.com/travel-advisor/resorts/georgia/chateau-elan-winery-resort/,Yes,$$$,★★★★
Arkansas Golf Resorts,Arlington Resort Hotel & Spa,https://www.golfpass.com/travel-advisor/resorts/arkansas/arlington-resort-hotel-spa/,Yes,$$$,★★★
California Golf Resorts,Westdrift Manhattan Beach,https://www.golfpass.com/travel-advisor/resorts/california/westdrift-manhattan-beach/,No,$$$,★★★★
Florida Golf Resorts,PGA National Resort & Spa,https://www.golfpass.com/travel-advisor/resorts/florida/pga-national-resort-spa/,Yes,$$$,★★★★
Idaho Golf Resorts,Coeur d'Alene,https://www.golfpass.com/travel-advisor/resorts/Idaho/coeur-dalene/,Yes,$$$$,★★★★★
Indiana Golf Resorts,French Lick Resort,https://www.golfpass.com/travel-advisor/resorts/indiana/french-lick-resort/,Yes,"$$$, $$$$",★★★★★
Hawaii Golf Resorts,Prince Waikiki (Oahu),https://www.golfpass.com/travel-advisor/resorts/hawaii/prince-waikiki-oahu/,Yes,$$$$,★★★★
Arizona Golf Resorts,Omni Tucson National Resort,https://www.golfpass.com/travel-advisor/resorts/arizona/omni-tucson-national-resort/,Yes,$$$,★★★★
Colorado Golf Resorts,Lone Tree Golf Club & Hotel,https://www.golfpass.com/travel-advisor/resorts/colorado/lone-tree-golf-club-hotel/,No,$$,★★★
Florida Golf Resorts,Mystic Dunes Resort & Golf Club by Diamond Resorts,https://www.golfpass.com/travel-advisor/resorts/florida/mystic-dunes-resort-golf-club-by-diamond-resorts/,No,$$,★★★★
Georgia Golf Resorts,Sea Palms Resort,https://www.golfpass.com/travel-advisor/resorts/georgia/sea-palms-resort/,No,"$$, $$$",★★★
Illinois Golf Resorts,The Glen Club,https://www.golfpass.com/travel-advisor/resorts/illinois/the-glen-club/,No,$$$,★★★★
Idaho Golf Resorts,Sun Valley Resort,https://www.golfpass.com/travel-advisor/resorts/Idaho/sun-valley-resort/,Yes,"$$$, $$$$",★★★★
Alabama Golf Resorts,The Battle House Renaissance Hotel & Spa,https://www.golfpass.com/travel-advisor/resorts/alabama/the-battle-house-renaissance-hotel-spa/,Yes,$$$,★★★★
Hawaii Golf Resorts,Four Seasons Resort Hualalai (Hawaii Island),https://www.golfpass.com/travel-advisor/resorts/hawaii/four-seasons-resort-hualalai-big-island/,Yes,$$$$,★★★★★
California Golf Resorts,Westin Desert Willow Villas,https://www.golfpass.com/travel-advisor/resorts/california/westin-desert-willow-villas/,No,$$$,★★★★
Indiana Golf Resorts,Belterra Casino Resort,https://www.golfpass.com/travel-advisor/resorts/indiana/belterra-casino-resort/,Yes,"$$, $$$",★★★★
Georgia Golf Resorts,Big Canoe,https://www.golfpass.com/travel-advisor/resorts/big-canoe/,Yes,"$, $$, $$$",★★★★
Colorado Golf Resorts,"The Peaks Resort & Spa, Telluride",https://www.golfpass.com/travel-advisor/resorts/colorado/the-peaks-resort-spa-telluride/,Yes,$$$,★★★★
Arizona Golf Resorts,"The Phoenician, a Luxury Collection Resort, Scottsdale",https://www.golfpass.com/travel-advisor/resorts/arizona/the-phoenician-a-luxury-collection-resort-scottsdale/,Yes,$$$$,★★★★★
Hawaii Golf Resorts,Ka'anapali Golf Resorts (Maui),https://www.golfpass.com/travel-advisor/resorts/hawaii/kaanapali-golf-resorts-maui/,Yes,$$$$,★★★★★
Alabama Golf Resorts,Grand Hotel Golf Resort & Spa,https://www.golfpass.com/travel-advisor/resorts/alabama/grand-hotel-golf-resort-spa/,Yes,$$$,★★★★
Florida Golf Resorts,"The Ritz-Carlton, Amelia Island",https://www.golfpass.com/travel-advisor/resorts/florida/the-ritz-carlton-amelia-island/,Yes,$$$$,★★★★★
Idaho Golf Resorts,Coeur d’Alene Casino Resort Hotel,https://www.golfpass.com/travel-advisor/resorts/Idaho/coeur-dalene-casino-resort-hotel/,Yes,"$$, $$$",★★★
Illinois Golf Resorts,Lincolnshire Marriott Resort,https://www.golfpass.com/travel-advisor/resorts/illinois/lincolnshire-marriott-resort/,Yes,$$,★★★
California Golf Resorts,Westin Carlsbad Resort & Spa and Sheraton Carlsbad Resort & Spa,https://www.golfpass.com/travel-advisor/resorts/california/westin-carlsbad-resort-spa-and-sheraton-carlsbad-resort-spa/,Yes,$$$,★★★★
Arizona Golf Resorts,The Embassy Suites by Hilton Phoenix Scottsdale,https://www.golfpass.com/travel-advisor/resorts/arizona/the-embassy-suites-by-hilton-phoenix-scottsdale/,No,$$,★★★★
Indiana Golf Resorts,Kent's Harbor and the Sagamore Resort,https://www.golfpass.com/travel-advisor/resorts/indiana/kents-harbor-and-the-sagamore-resort/,No,$$,★★★
Georgia Golf Resorts,Callaway Resort & Gardens,https://www.golfpass.com/travel-advisor/resorts/georgia/callaway-resort-gardens/,Yes,$$$,★★★★
Hawaii Golf Resorts,Wailea Golf Resorts (Maui),https://www.golfpass.com/travel-advisor/resorts/hawaii/wailea-golf-resorts-maui/,Yes,$$$$,★★★★★
Alabama Golf Resorts,Dothan National Golf Club and Hotel,https://www.golfpass.com/travel-advisor/resorts/alabama/dothan-national-golf-club-and-hotel/,No,$$,★★★
Colorado Golf Resorts,Copper Mountain Resort,https://www.golfpass.com/travel-advisor/resorts/colorado/copper-mountain-resort/,No,"$$, $$$",★★★
Illinois Golf Resorts,Rend Lake Golf Complex,https://www.golfpass.com/travel-advisor/resorts/illinois/rend-lake-golf-complex/,No,$$,★★★
Idaho Golf Resorts,Shore Lodge,https://www.golfpass.com/travel-advisor/resorts/Idaho/shore-lodge/,Yes,$$$,★★★★
Arizona Golf Resorts,Cocopah RV & Golf Resort,https://www.golfpass.com/travel-advisor/resorts/arizona/cocopah-rv-golf-resort/,No,$,★
Idaho Golf Resorts,Terrace Lakes Resort,https://www.golfpass.com/travel-advisor/resorts/Idaho/terrace-lakes-resort/,No,$$,★★★★
Illinois Golf Resorts,Quail Creek Country Club & Resort,https://www.golfpass.com/travel-advisor/resorts/illinois/quail-creek-country-club-resort/,No,$$,★★★
California Golf Resorts,Silverado Resort and Spa,https://www.golfpass.com/travel-advisor/resorts/california/silverado-resort-and-spa/,Yes,"$$$, $$$$",★★★★
Indiana Golf Resorts,Swan Lake Resort,https://www.golfpass.com/travel-advisor/resorts/indiana/swan-lake-resort/,No,$$,★★★
Florida Golf Resorts,Trump National Doral Miami,https://www.golfpass.com/travel-advisor/resorts/florida/trump-national-doral-miami/,Yes,"$$$, $$$$",★★★★
Hawaii Golf Resorts,Grand Hyatt Kauai Resort & Spa,https://www.golfpass.com/travel-advisor/resorts/hawaii/grand-hyatt-kauai-resort-spa/,Yes,$$$$,★★★★★
Alabama Golf Resorts,Joe Wheeler State Park,https://www.golfpass.com/travel-advisor/resorts/alabama/joe-wheeler-state-park/,No,$$,★★★
Colorado Golf Resorts,The Broadmoor,https://www.golfpass.com/travel-advisor/resorts/colorado/the-broadmoor/,Yes,$$$$,★★★★★
Arizona Golf Resorts,Canoa Ranch Golf Resort,https://www.golfpass.com/travel-advisor/resorts/arizona/canoa-ranch-golf-resort/,No,$$,★★★
Georgia Golf Resorts,Hard Labor Creek State Park,https://www.golfpass.com/travel-advisor/resorts/georgia/hard-labor-creek-state-park/,No,$,★★
Colorado Golf Resorts,Garden of the Gods,https://www.golfpass.com/travel-advisor/resorts/colorado/garden-of-the-gods/,Yes,"$$$, $$$$",★★★★
California Golf Resorts,CordeValle,https://www.golfpass.com/travel-advisor/resorts/california/rosewood-cordevalle/,Yes,$$$$,★★★★★
Idaho Golf Resorts,Stoneridge Resort,https://www.golfpass.com/travel-advisor/resorts/Idaho/stoneridge-resort/,No,$$,★★★
Florida Golf Resorts,"The Ritz-Carlton Orlando, Grande Lakes",https://www.golfpass.com/travel-advisor/resorts/florida/the-ritz-carlton-orlando-grande-lakes/,Yes,$$$$,★★★★★
Illinois Golf Resorts,Eagle Ridge Resort & Spa,https://www.golfpass.com/travel-advisor/resorts/illinois/eagle-ridge-resort-spa/,Yes,"$$$, $$",★★★★
Indiana Golf Resorts,Salt Creek Golf Retreat,https://www.golfpass.com/travel-advisor/resorts/indiana/salt-creek-golf-retreat/,No,$$,★★★
Georgia Golf Resorts,Jack Hill State Park,https://www.golfpass.com/travel-advisor/resorts/georgia/jack-hill-state-park/,No,$,★
